,2025/3/2,Sunday,2025/3/9,Sunday,2025/3/11,Weekday,2025/3/12,Weekday,2025/3/14,Weekday,2025/3/15,Saturday,2025/3/23,Sunday
KLT-1,18:29,65.2,13:10,66.8,16:46,66.7,15:04,63.2,17:01,62.9,12:00,64.5,16:01,68.1
KLT-2,18:32,66.6,13:18,57.8,16:56,58.2,15:07,58,17:05,62.1,12:06,59.7,16:03,64
KLT-3,18:37,64.3,16:03,67.9,17:10,59.8,15:11,59.1,17:14,64.7,12:10,64.1,16:07,57.3
MK-1,17:02,80.1,14:42,80.1,14:28,77.8,14:47,80,15:47,79.8,12:53,78,16:37,79.7
MK-2,17:05,75,15:07,78.9,14:33,70.9,14:50,75.1,15:50,75,12:58,74.3,16:40,76.4
MK-3,17:14,82.5,15:16,77,14:40,73.3,14:54,74.7,15:54,73.2,13:03,74.9,16:45,81.2
